job_title,company,location,post_date,seniority_level,skills,salary
data scientist,company_043,"Toronto, Ontario, Canada . On-site",8 days ago,senior,"['pytorch', 'spark', 'git', 'r', 'python', 'sql', 'machine learning', 'tensorflow']",72611
data scientist,company_044,"Findlay, OH . Denver, CO . San Antonio, TX",8 days ago,senior,"['pytorch', 'scikit-learn', 'python', 'machine learning', 'deep learning', 'tensorflow']",129743
data scientist,company_045,"Toronto, Ontario, Canada",6 days ago,senior,"['airflow', 'spark', 'machine learning', 'python']",85044
data scientist,company_046,"San Francisco, CA",3 months ago,senior,[],178107.5
data scientist,company_047,"Bengaluru, Karnataka, India",a month ago,lead,"['deep learning', 'machine learning']",10049
data scientist,company_048,"Remote, US . Fully Remote",3 months ago,,[],100468
data scientist,company_049,"Huntsville, AL . Merritt Island, FL . Seattle, WA",15 days ago,senior,"['aws', 'git', 'r', 'python', 'docker', 'machine learning', 'kubernetes', 'deep learning', 'azure']",150205.5
data scientist,company_050,"San Francisco, CA",8 days ago,senior,"['sql', 'machine learning', 'r', 'python']",150707
data scientist,company_051,"Laurel, MD",a month ago,senior,['python'],210071
machine learning engineer,company_052,"Amsterdam, North Holland, Netherlands",a month ago,senior,"['sql', 'machine learning', 'python']",72515
data scientist,company_054,"Richmond, VA . On-site",7 days ago,lead,"['machine learning', 'python']",112288
data scientist,company_057,"Seattle, WA . Hybrid",25 days ago,lead,"['r', 'python', 'sql', 'machine learning', 'tableau']",132437
data scientist,company_061,"Manchester, England, United Kingdom . Hybrid",15 days ago,senior,"['spark', 'python', 'airflow', 'sql', 'machine learning']",54802.5
data scientist,company_054,"Richmond, VA . On-site",7 days ago,senior,"['machine learning', 'python']",112291
,company_064,"Barcelona, Catalonia, Spain",7 days ago,midlevel,"['git', 'r', 'python', 'linux', 'bash']",28068
data scientist,company_065,"Toronto, Ontario, Canada",3 days ago,senior,"['pandas', 'numpy', 'scikit-learn', 'python', 'sql', 'azure', 'tableau']",104122
data scientist,company_066,"Foster City, CA . Hybrid",3 years ago,senior,[],233820.5
data scientist,company_067,"San Francisco, CA, US . Seattle, WA, US . Hybrid",19 days ago,senior,[],260211
data scientist,company_069,United States,a month ago,lead,"['pytorch', 'spark', 'scikit-learn', 'python', 'neural network', 'machine learning', 'deep learning', 'tensorflow']",114355
data scientist,company_071,"Cambridge, MA",15 days ago,midlevel,"['r', 'python', 'sql', 'machine learning', 'tableau']",171254.5
data scientist,company_075,"Atlanta, GA",20 days ago,senior,"['sql', 'machine learning', 'tableau', 'python']",105035
data scientist,company_077,United States . Fully Remote,2 months ago,senior,"['sql', 'machine learning', 'tableau', 'python']",159839
data scientist,company_078,"San Diego, CA",9 days ago,senior,"['pytorch', 'python', 'docker', 'sql', 'neural network', 'kubernetes', 'tensorflow']",140661
data scientist,company_080,"Toronto, Ontario, Canada . Montreal, Quebec, Canada . Hybrid",8 days ago,senior,"['machine learning', 'r', 'python']",73739
data scientist,company_081,"New York, NY . Hybrid",6 days ago,senior,[],152074.5
data scientist,company_084,On-site,14 days ago,senior,[],228515
data scientist,company_089,"New York, NY",8 days ago,senior,"['aws', 'git', 'python', 'sql', 'machine learning']",148423.5
machine learning engineer,company_049,"Seattle, WA",15 days ago,senior,"['pandas', 'pytorch', 'aws', 'python', 'docker', 'machine learning', 'kubernetes', 'deep learning', 'azure', 'tensorflow']",194619.5
data scientist,company_092,"McLean, VA . Hybrid",8 days ago,senior,"['java', 'machine learning', 'r', 'python']",132617.5
data scientist,company_093,"Seattle, Washington, United States . On-site",12 days ago,lead,[],219203
data scientist,company_094,"Warsaw, Mazowieckie, Poland . Prague, Prague, Czechia . Kyiv, Kyiv City, Ukraine",3 months ago,senior,"['pandas', 'pytorch', 'r', 'python', 'machine learning', 'tensorflow']",77184
data scientist,company_095,On-site,3 months ago,senior,[],157556.5
data scientist,company_096,"San Francisco, California, United States . On-site",20 days ago,senior,[],246599
data scientist,company_098,"Bangalore, Karnataka",5 months ago,,[],41302
data scientist,company_099,"Toronto, Ontario, Canada . Hybrid",7 days ago,senior,"['sql', 'tableau', 'python']",77161
data scientist,company_100,"Rock Island, IL . On-site",3 months ago,senior,"['scikit-learn', 'r', 'python', 'java', 'machine learning']",103554.5
data scientist,company_101,"Cambridge, England, United Kingdom",8 days ago,midlevel,[],31175
data scientist,company_103,"Oregon, United States . Fully Remote",4 days ago,midlevel,"['pandas', 'powerbi', 'r', 'python', 'sql', 'neural network', 'machine learning', 'deep learning', 'tableau']",58894
machine learning engineer,company_106,"Pune, Maharashtra, India",4 days ago,senior,"['spark', 'aws', 'powerbi', 'python', 'docker', 'sql', 'machine learning', 'gcp', 'kubernetes', 'deep learning', 'azure']",26757
data scientist,company_089,"Denver, CO",8 days ago,senior,"['aws', 'git', 'python', 'sql', 'machine learning']",148421.5
data scientist,company_112,"San Francisco, California, United States . On-site",a month ago,senior,[],148808
data scientist,company_113,"Charlotte, NC",8 days ago,lead,"['sql', 'deep learning', 'machine learning']",147784
data scientist,company_115,"Bengaluru, Karnataka, India . Hybrid",a month ago,senior,"['pytorch', 'aws', 'python', 'sql', 'gcp', 'azure', 'tensorflow']",24205
data scientist,company_116,"Chennai, Tamil Nadu, India",2 days ago,senior,"['pandas', 'numpy', 'pytorch', 'powerbi', 'git', 'scikit-learn', 'python', 'java', 'sql', 'neural network', 'gcp', 'machine learning', 'matplotlib', 'tensorflow']",13886
data scientist,company_119,"Menlo Park, CA . On-site",15 days ago,senior,[],177647.5
data scientist,company_014,"Berkeley, CA",15 days ago,midlevel,"['machine learning', 'database']",102167
data scientist,company_121,"Remote, United States . Fully Remote",a month ago,senior,[],154314.5
data scientist,company_100,"Rock Island, IL . On-site",3 months ago,senior,"['scikit-learn', 'r', 'python', 'java', 'machine learning']",103558.5
data scientist,company_067,"San Francisco, CA, US . Remote, US . Fully Remote",4 days ago,senior,[],306623
data scientist,company_126,United States,15 days ago,senior,[],28501
data scientist,company_021,Fully Remote,a day ago,senior,[],255732
data scientist,company_129,Fully Remote,8 days ago,,[],159834
data scientist,company_022,"Pittsburgh, PA",7 days ago,senior,"['python', 'java', 'sql', 'kubernetes', 'azure']",96819
data scientist,company_134,"Seattle, WA . Seattle, Washington, États-Unis . Seattle, Washington, USA",a month ago,senior,"['amazon', 'r', 'python', 'machine learning', 'deep learning']",219201
machine learning engineer,company_135,"Taipei, Taiwan . On-site",a day ago,,[],36340
data scientist,company_137,"Denver, CO . Hybrid",a month ago,senior,"['spark', 'r', 'python', 'database', 'machine learning']",138833
data scientist,company_141,"Fort Worth, TX",a month ago,senior,['machine learning'],116453
data scientist,company_145,"Austin, Texas . Hybrid",a day ago,senior,[],200936
data scientist,company_146,"Toronto, ON . Hybrid",11 days ago,senior,[],182211.5
data scientist,company_148,"Orlando, FL",5 days ago,senior,"['spark', 'r', 'python', 'sql', 'hadoop', 'machine learning']",88185
data scientist,company_153,United States,15 days ago,senior,"['pytorch', 'spark', 'aws', 'scikit-learn', 'python', 'docker', 'deep learning', 'java', 'sql', 'machine learning', 'gcp', 'kubernetes', 'hadoop', 'azure', 'tensorflow']",228792.5
data scientist,company_155,"All, MO",15 days ago,lead,"['aws', 'scikit-learn', 'python', 'sql', 'machine learning', 'tensorflow']",164399.5
machine learning engineer,company_156,"Mountain View, California (HQ) . On-site",8 days ago,,[],173532.5
data scientist,company_158,"Reston, VA",4 days ago,senior,"['aws', 'git', 'python', 'java', 'kubernetes', 'machine learning']",196794.5
data scientist,company_159,Fully Remote,2 months ago,senior,[],144311
data scientist,company_164,"Redwood City, US, California . Hybrid",2 months ago,senior,[],172619.5
data scientist,company_166,"Veldhoven, North Brabant, Netherlands . On-site",21 days ago,senior,['r'],82371
data scientist,company_169,Fully Remote,4 days ago,senior,[],224774
data scientist,company_170,"Ridgefield, CT",10 days ago,senior,"['pytorch', 'git', 'scikit-learn', 'python', 'docker', 'kubernetes', 'machine learning', 'tensorflow']",165320
data scientist,company_171,"Pune, Maharashtra, India",15 days ago,senior,"['pandas', 'pytorch', 'r', 'python', 'java', 'database', 'keras', 'machine learning', 'matplotlib', 'tensorflow']",39984.5
data scientist,company_173,"San Mateo, CA . On-site",a month ago,,[],116452
data scientist,company_176,On-site,11 days ago,senior,[],151301.5
data scientist,company_177,"Omaha, NE . Newport Beach, CA . Massachusetts, United States",a month ago,senior,"['scikit-learn', 'python', 'sql', 'machine learning', 'tensorflow']",166049.5
data scientist,company_178,"Torrance, CA",3 days ago,senior,"['spark', 'r', 'python', 'hadoop', 'machine learning']",63942
data scientist,company_179,"Los Angeles, CA . United States . San Francisco, CA . Hybrid",20 days ago,senior,['amazon'],198651
data scientist,company_181,"San Francisco, CA",8 days ago,midlevel,"['tableau', 'sql', 'r', 'python']",116221.5
data scientist,company_182,"Navi Mumbai, Maharashtra, India . Hybrid",a month ago,senior,"['pandas', 'numpy', 'pytorch', 'scikit-learn', 'python', 'docker', 'scipy', 'sql', 'machine learning', 'deep learning', 'matplotlib', 'tensorflow']",15542
data scientist,company_183,"Tallinn, Harjumaa, Estonia . Hybrid",15 days ago,senior,"['pandas', 'numpy', 'spark', 'aws', 'scikit-learn', 'python', 'docker', 'airflow', 'sql', 'machine learning', 'deep learning']",61772
data scientist,company_184,"New York, NY",8 days ago,senior,['machine learning'],137004
data scientist,company_185,"Fairfax, VA",2 months ago,senior,"['pytorch', 'git', 'python', 'machine learning', 'keras', 'deep learning', 'tensorflow']",214818
data scientist,company_186,"New York, NY . Hybrid",8 days ago,senior,"['database', 'sql', 'aws', 'python']",75357
data scientist,company_192,United States,a month ago,midlevel,"['amazon', 'spark', 'python', 'airflow', 'machine learning']",150707
data scientist,company_193,"Phoenix, AZ",3 days ago,senior,"['powerbi', 'aws', 'r', 'python', 'sql', 'machine learning']",82201
data scientist,company_196,Hybrid,7 months ago,,[],198375.5
data scientist,company_197,"Bengaluru, Karnataka, India . On-site",22 days ago,,[],27409
data scientist,company_199,"Austin, TX . Hybrid",15 days ago,lead,"['java', 'sql', 'python']",109605
data scientist,company_203,"Cincinnati, OH . Chicago, IL . Hybrid",a day ago,lead,[],199795
data scientist,company_207,"Manassas, VA",14 days ago,senior,"['aws', 'python', 'linux', 'sql', 'gcp', 'hadoop']",106407
data scientist,company_209,"Bengaluru, Karnataka, India",8 days ago,senior,"['spark', 'aws', 'python', 'sql', 'gcp', 'deep learning', 'tensorflow', 'tableau']",639348
data analyst,company_211,"Eindhoven, North Brabant, Netherlands",15 days ago,midlevel,['python'],69047
data scientist,company_212,"Cincinnati, OH",5 days ago,senior,"['azure', 'aws', 'machine learning', 'python']",135179
machine learning engineer,company_215,"San Francisco, CA . Seattle, WA . New York, NY . On-site",13 days ago,,[],248888.5
data scientist,company_221,"Bengaluru, Karnataka, India . Hybrid",8 days ago,lead,"['spark', 'r', 'python', 'java', 'sql', 'machine learning']",19096
data scientist,company_223,Raleigh-Durham-Chapel Hill Area,2 days ago,senior,"['spark', 'aws', 'r', 'python', 'machine learning', 'hadoop', 'deep learning']",99560
data scientist,company_092,"McLean, VA . Hybrid",5 days ago,senior,"['java', 'machine learning', 'r', 'python']",132622.5
data scientist,company_225,Fully Remote,7 days ago,,[],137001
data scientist,company_226,"Rochester, New York Metropolitan Area",22 days ago,senior,"['deep learning', 'machine learning']",66234.5
data scientist,company_227,"Denver, CO",15 days ago,senior,"['pytorch', 'aws', 'r', 'python', 'docker', 'scikit-learn', 'sql', 'machine learning', 'gcp', 'deep learning', 'azure', 'tensorflow']",84759.5
data scientist,company_052,Greater São Paulo Area . Hybrid,22 days ago,senior,"['sql', 'r', 'python']",50222
data scientist,company_230,"Mettawa, IL",6 days ago,midlevel,[],137003
data scientist,company_231,"South San Francisco, CA . On-site",25 days ago,senior,"['machine learning', 'r', 'python']",124219
data scientist,company_233,United States,5 days ago,senior,"['machine learning', 'r', 'python']",134185.5
data scientist,company_235,"San Antonio, TX",15 days ago,lead,"['spark', 'r', 'python', 'sql', 'machine learning', 'hadoop', 'deep learning']",137008
data scientist,company_236,United States . Fully Remote,a day ago,senior,"['sql', 'machine learning', 'tableau', 'python']",146135
data scientist,company_041,"Mississauga, Ontario, Canada",5 days ago,senior,"['gcp', 'git', 'r']",74130
data scientist,company_241,"Manchester, England, United Kingdom . Hybrid",2 months ago,senior,"['pytorch', 'aws', 'scikit-learn', 'scipy', 'machine learning', 'gcp', 'azure', 'tensorflow']",100472.5
data scientist,company_243,"Bowie, MD . On-site",8 days ago,,[],105715.5
data scientist,company_244,"Plano, TX . On-site",15 days ago,senior,"['pytorch', 'machine learning', 'tensorflow', 'python']",141571.5
data scientist,company_246,"Arlington, VA",8 days ago,midlevel,"['spark', 'python', 'docker', 'java', 'sql', 'machine learning', 'kubernetes', 'hadoop', 'deep learning']",173540
data scientist,company_250,"New York, NY",4 days ago,lead,"['powerbi', 'r', 'python', 'scikit-learn', 'sql', 'machine learning', 'tensorflow', 'tableau']",205224
data scientist,company_252,"San Francisco, CA . Hybrid",5 days ago,lead,[],258704
data scientist,company_254,"Chicago, IL",9 days ago,senior,"['powerbi', 'r', 'python', 'sql', 'database', 'hadoop', 'tableau']",75351.5
data scientist,company_255,"Charlotte, NC . On-site",8 days ago,,[],130155
data scientist,company_256,"San Francisco, CA . On-site",4 days ago,senior,"['sql', 'machine learning', 'r', 'python']",155274
data scientist,company_257,"Foster City, CA . Hybrid",6 days ago,senior,"['pytorch', 'spark', 'r', 'python', 'scikit-learn', 'machine learning', 'deep learning', 'tensorflow']",156774.5
machine learning engineer,company_007,"Vancouver, British Columbia, Canada . Hybrid",a month ago,senior,"['pytorch', 'machine learning', 'tensorflow', 'python']",61654.5
data scientist,company_261,"Alameda, CA",7 days ago,senior,"['spark', 'r', 'python', 'scala', 'linux', 'java', 'hadoop', 'machine learning']",79187
data scientist,company_183,"Berlin, Berlin, Germany",8 days ago,senior,"['pandas', 'numpy', 'spark', 'aws', 'scikit-learn', 'python', 'airflow', 'machine learning']",98643
data scientist,company_268,"Singapore, Singapore",7 days ago,senior,"['pytorch', 'git', 'python', 'machine learning', 'tensorflow']",67044
data scientist,company_269,"Boston, MA . Newark, DE . Tampa, FL . Kennesaw, GA . Plano, TX + 8 More",a month ago,senior,"['python', 'java', 'sql', 'hadoop', 'machine learning']",187788
data scientist,company_270,"New York, NY",2 months ago,lead,"['sql', 'python']",197557
data scientist,company_231,"San Diego, CA . On-site",5 days ago,midlevel,"['aws', 'git', 'r', 'python', 'java', 'machine learning', 'database', 'azure', 'matplotlib']",148692.5
data scientist,company_273,"Redmond, WA",a month ago,senior,"['sql', 'machine learning', 'r', 'python']",188604.5
data scientist,company_276,Hybrid,a month ago,lead,[],294100
data scientist,company_279,"San Francisco, California . On-site",8 days ago,,[],141573.5
machine learning engineer,company_106,"Pune, Maharashtra, India",2 days ago,senior,"['spark', 'aws', 'powerbi', 'python', 'docker', 'sql', 'machine learning', 'gcp', 'kubernetes', 'deep learning', 'azure']",26760
data scientist,company_280,"Annapolis Junction, MD . Annapolis, MD . Fully Remote",a month ago,midlevel,"['linux', 'machine learning', 'python']",146133
data scientist,company_282,"Rosemont, IL",5 days ago,senior,"['git', 'r', 'python', 'bash', 'sql', 'machine learning', 'deep learning']",89051
data scientist,company_115,"New York, NY . Hybrid",a month ago,lead,"['pandas', 'numpy', 'scikit-learn', 'python', 'sql', 'hadoop']",137002
data scientist,company_207,"Hyderabad, Telangana, India",10 days ago,senior,"['pytorch', 'r', 'python', 'sql', 'machine learning', 'deep learning', 'tensorflow', 'tableau']",24621
data scientist,company_047,"Bengaluru, Karnataka, India",a month ago,junior,"['deep learning', 'machine learning']",10055
data scientist,company_288,"Chantilly, VA . On-site",a month ago,senior,"['aws', 'azure']",114171
data scientist,company_290,"Pune, Maharashtra, India",8 days ago,senior,"['powerbi', 'aws', 'python', 'sql', 'machine learning', 'tableau']",35853.5
data scientist,company_291,"Bengaluru, Karnataka, India",5 days ago,senior,"['aws', 'r', 'python', 'sql', 'neural network', 'gcp', 'azure']",9583
data scientist,company_141,"Orlando, FL",a month ago,senior,['machine learning'],68500
data scientist,company_293,"Bengaluru, Karnataka, India",3 months ago,senior,"['spark', 'python', 'sql', 'machine learning', 'deep learning', 'tensorflow']",36104
data scientist,company_295,"Montreal, Quebec, Canada . Hybrid",5 days ago,senior,"['pandas', 'numpy', 'pytorch', 'aws', 'scikit-learn', 'python', 'sql', 'machine learning']",55906
data scientist,company_296,"Lebanon, NH . Hybrid",17 days ago,midlevel,"['machine learning', 'python']",95115
data scientist,company_166,"Veldhoven, North Brabant, Netherlands . On-site",8 days ago,midlevel,['python'],82373
data scientist,company_298,United States,15 days ago,senior,"['sql', 'azure', 'r', 'python']",112114.5
data scientist,company_303,"New York, NY",22 days ago,senior,"['aws', 'git', 'python', 'sql', 'gcp', 'machine learning']",116458
data scientist,company_034,"Annapolis Junction, MD",a month ago,senior,"['sql', 'machine learning', 'r', 'python']",194540
data scientist,company_305,"Budapest, Budapest, Hungary",a month ago,senior,"['machine learning', 'python']",27403
data scientist,company_306,"Fort Meade, MD . Fort Meade, Maryland, Birleşik Devletler . Fully Remote",3 months ago,midlevel,"['sql', 'machine learning', 'r', 'python']",152987
data scientist,company_308,"Mountain View, CA",15 days ago,senior,"['sql', 'python']",224776
data scientist,company_309,"Bengaluru, Karnataka, India",19 days ago,senior,"['pytorch', 'aws', 'git', 'python', 'docker', 'gcp', 'azure', 'tensorflow']",19234
data scientist,company_310,Antwerp Metropolitan Area,2 days ago,lead,"['powerbi', 'tableau']",90697
machine learning engineer,company_312,"San Francisco, CA . Seattle, WA . New York, NY . On-site",13 days ago,,[],248888.5
data scientist,company_315,United States,9 days ago,senior,"['pytorch', 'aws', 'r', 'python', 'docker', 'machine learning', 'kubernetes', 'deep learning', 'tensorflow']",151895
data scientist,company_316,"Dublin, County Dublin, Ireland",22 days ago,senior,"['sql', 'azure', 'python']",52987
data scientist,company_251,"Alpharetta, GA",15 days ago,lead,"['spark', 'aws', 'r', 'python', 'scala', 'java', 'sql', 'machine learning', 'hadoop', 'azure', 'tensorflow', 'tableau']",115086
data scientist,company_318,United States,a month ago,senior,['machine learning'],100467
machine learning engineer,company_008,"San Jose, CA . Hybrid",15 days ago,senior,"['pandas', 'numpy', 'pytorch', 'spark', 'aws', 'scikit-learn', 'python', 'java', 'sql', 'machine learning', 'tensorflow']",170793.5
data scientist,company_324,United States . On-site,8 days ago,senior,"['sql', 'machine learning', 'r', 'python']",143853
machine learning engineer,company_326,,2 years ago,senior,[],44207
data scientist,company_328,"Riverwoods, IL",10 days ago,senior,"['sql', 'tableau']",142479.5
data scientist,company_336,"South San Francisco, CA",6 days ago,lead,['machine learning'],195911
data scientist,company_337,"Tallahassee, FL . Arlington, VA . Fully Remote",25 days ago,midlevel,"['r', 'python', 'sql', 'machine learning', 'database', 'deep learning']",177143
data scientist,company_339,Fully Remote,a month ago,senior,[],195229.5
data scientist,company_340,"San Jose, CA . Hybrid",2 months ago,senior,"['sql', 'machine learning', 'r', 'python']",153602.5
data scientist,company_341,On-site,13 days ago,,[],135859.5
data scientist,company_343,"Edinburgh, Scotland, United Kingdom",a day ago,senior,"['machine learning', 'python']",59677
data scientist,company_201,"Milwaukee, WI",8 days ago,senior,"['spark', 'python', 'scala', 'machine learning', 'database', 'azure', 'tableau']",121480
data scientist,company_352,"Pune, Maharashtra, India . On-site",3 months ago,midlevel,"['amazon', 'r', 'python', 'java', 'database', 'hadoop', 'machine learning']",13173
data scientist,company_353,Fully Remote,2 months ago,senior,[],164400
data scientist,company_355,"Seattle, WA",a month ago,senior,"['sql', 'r', 'python']",170615
data scientist,company_184,"Johns Creek, GA",6 days ago,senior,['machine learning'],137000
data scientist,company_357,"Basking Ridge, NJ . Irving, TX . Temple Terrace, FL . Boston, MA . Ashburn, VA + 1 More . Hybrid",8 days ago,senior,"['python', 'sql', 'machine learning', 'database', 'hadoop', 'deep learning']",92254
data scientist,company_360,"Itanagar, Arunachal Pradesh, India",2 months ago,senior,"['pandas', 'numpy', 'pytorch', 'spark', 'aws', 'git', 'scikit-learn', 'python', 'docker', 'scipy', 'hadoop', 'machine learning', 'database', 'keras', 'deep learning', 'matplotlib', 'tensorflow']",12924
data scientist,company_362,Fully Remote,16 days ago,senior,[],237881.5
data scientist,company_031,"New Brunswick, NJ",a day ago,senior,"['aws', 'powerbi', 'r', 'python', 'airflow', 'machine learning', 'azure', 'tableau']",114170.5
data scientist,company_363,"Bellevue, WA",23 days ago,senior,"['pytorch', 'scikit-learn', 'python', 'scala', 'java', 'machine learning', 'tensorflow']",156181.5
data scientist,company_235,"Phoenix, AZ",15 days ago,lead,"['spark', 'r', 'python', 'sql', 'machine learning', 'hadoop', 'deep learning']",137000
data scientist,company_365,"McLean, VA",2 months ago,senior,"['database', 'machine learning', 'python']",116283.5
data scientist,company_366,"Columbia, MD",14 days ago,lead,"['pytorch', 'spark', 'aws', 'r', 'python', 'scikit-learn', 'scala', 'sql', 'machine learning', 'gcp', 'azure', 'tensorflow']",123305
data scientist,company_367,On-site,a month ago,senior,[],155723.5
data scientist,company_185,"Utah, United States",15 days ago,senior,"['aws', 'gcp', 'azure']",156822
machine learning engineer,company_371,"South San Francisco, CA . South San Francisco, Kalifornia, Stany Zjednoczone",7 days ago,senior,"['pytorch', 'python', 'machine learning', 'deep learning', 'tensorflow']",201851
data scientist,company_146,"Kitchener-Waterloo, ON . Toronto, ON . Hybrid",11 days ago,senior,[],182216.5
machine learning engineer,company_178,"Torrance, CA",15 days ago,senior,"['java', 'machine learning', 'r', 'python']",63941
data scientist,company_112,Fully Remote,4 days ago,,[],213594
machine learning engineer,company_326,,a year ago,lead,[],44202
data scientist,company_382,Greater Chicago Area . Hybrid,a month ago,senior,"['aws', 'python', 'sql', 'machine learning', 'deep learning']",82201.5
data scientist,company_383,"Barcelona, Spain . On-site",2 months ago,,[],61375
data scientist,company_071,"Cambridge, MA",5 days ago,senior,"['r', 'python', 'sql', 'hadoop', 'machine learning']",9140
data scientist,company_384,"Normal, IL . Plymouth, MI . Palo Alto, CA . Irvine, CA . Atlanta, GA",15 days ago,senior,"['sql', 'r', 'python']",171710
machine learning engineer,company_387,"Sunnyvale, CA . Hybrid",a day ago,,[],144491
data scientist,company_176,Fully Remote,11 days ago,senior,[],188519.5
data scientist,company_389,"Menlo Park, CA",3 months ago,senior,['python'],220344
data scientist,company_391,Fully Remote,7 days ago,senior,[],146138
data scientist,company_392,"Cincinnati, OH",a month ago,senior,"['spark', 'aws', 'python', 'sql', 'machine learning', 'gcp', 'azure']",210405.5
data scientist,company_395,"McLean, VA",6 days ago,midlevel,"['spark', 'aws', 'r', 'python', 'scala', 'sql', 'database', 'machine learning']",130064.5
data scientist,company_316,"Dublin, County Dublin, Ireland",15 days ago,senior,"['machine learning', 'r', 'python']",57318
data scientist,company_367,On-site,a month ago,senior,[],229706
data scientist,company_403,"Boston, MA . Hybrid",5 days ago,,[],135632.5
data scientist,company_404,United States,10 days ago,senior,"['aws', 'r', 'python', 'linux', 'sql', 'machine learning', 'deep learning', 'azure']",113437.5
data scientist,company_337,"Arlington, VA",a month ago,senior,"['r', 'python', 'sql', 'machine learning', 'database', 'deep learning']",120989.5
machine learning engineer,company_336,"New York, NY",14 days ago,midlevel,"['deep learning', 'machine learning', 'r', 'python']",184127
data scientist,company_410,On-site,4 months ago,senior,[],28130
data scientist,company_411,"San Francisco, CA",15 days ago,midlevel,"['spark', 'aws', 'python', 'airflow', 'sql', 'gcp', 'machine learning']",186282
data scientist,company_412,"Atlanta, GA",a month ago,senior,"['pandas', 'aws', 'scikit-learn', 'python', 'sql', 'machine learning', 'gcp', 'azure', 'matplotlib']",84578.5
data scientist,company_414,"London, England, United Kingdom . Hybrid",15 days ago,senior,"['sql', 'aws', 'r', 'python']",114170
data scientist,company_417,"Bengaluru, Karnataka, India . Hybrid",a month ago,senior,"['pandas', 'numpy', 'pytorch', 'aws', 'r', 'python', 'scikit-learn', 'scipy', 'sql', 'machine learning', 'deep learning', 'keras', 'azure', 'matplotlib', 'tensorflow', 'tableau']",32665
data scientist,company_418,"Washington, United States . Idaho, United States . Arizona, United States . Georgia, United States . South Carolina, United States + 1 More . Fully Remote",7 days ago,senior,"['tableau', 'sql', 'r', 'python']",127509
data scientist,company_421,Mexico City Metropolitan Area . Fully Remote,15 days ago,midlevel,"['sql', 'machine learning', 'python']",25212
data scientist,company_422,"Englewood, CO",a month ago,senior,"['sql', 'r', 'python']",105439
data scientist,company_423,"New York, NY . Hybrid",a month ago,senior,[],127874.5
data scientist,company_425,"Madrid, Community of Madrid, Spain",25 days ago,senior,"['spark', 'aws', 'powerbi', 'r', 'python', 'docker', 'linux', 'sql', 'azure', 'tableau']",55995
data scientist,company_426,"Palo Alto, CA . Hybrid",2 months ago,lead,[],223773.5
data scientist,company_428,"Seattle, WA . Hybrid",4 days ago,senior,"['sql', 'python']",230622.5
data scientist,company_433,Hybrid,a month ago,,[],45675.5
data scientist,company_435,"Toronto, Ontario, Canada",5 days ago,senior,"['machine learning', 'python']",134807.5
data scientist,company_069,United States,5 days ago,senior,"['spark', 'aws', 'python', 'sql', 'machine learning', 'gcp', 'azure']",87407
data scientist,company_438,"New York City, New York, United States . On-site",2 months ago,,[],154356
